id,label,desc,id_no_prefix
371,Levy Year,"The year in which school taxes are levied, generally in the Fall of the school year. For example, levy year 2014 refers to school year 2014-15.",LevyYear
372,County,"The name of the county. “New York City” includes the counties of Bronx, Kings, New York, Queens, and Richmond.",County
373,County Code,"The code by which a county or group of counties, in the case of New York City (NYC), is identified within the Department. These two digits are also the first two digits in a parcel’s SWIS code. NYC code 65 encompasses the codes 60 - 64 for Bronx, Kings, New York, Queens, and Richmond counties, respectively. Other State or local governmental agencies may utilize different county codes.",CountyCode
374,Basic STAR Units,Number of residential units claiming basic STAR exemption. (Basic STAR began in levy year 1999.) For LY16 forward: This does not include the number claiming the STAR advance payment personal income tax credit.,BasicSTARUnits
375,Basic STAR Reimbursement,Amount (in dollars) reimbursed by New York State to school districts for the reduction in school property tax revenue due to basic STAR exemptions in municipalities within that county. (Basic STAR began in levy year 1999.) For LY16 forward: This does not include the amount of STAR advance payment personal income tax credit issued.,BasicSTARReimbursement
376,Enhanced STAR Units,Number of residential units claiming enhanced STAR exemption. For LY16 forward: This does not include the number claiming the STAR advance payment personal income tax credit,EnhancedSTARUnits
377,Enhanced STAR Reimbursement,Amount (in dollars) reimbursed by New York State to school districts for the reduction in school property tax revenue due to enhanced STAR exemptions in municipalities within that county. For LY16 forward: This does not include the amount of STAR advance payment personal income tax credit issued.,EnhancedSTARReimbursement
378,Total STAR Reimbursement,Total Amount (in dollars) reimbursed by New York State to school districts for the total reduction in school property tax revenue due to basic and enhanced STAR exemptions in municipalities within that county. For LY16 forward: This does not include the amount of STAR advance payment personal income tax credit issued.,TotalSTARReimbursement
379,Revision Date,The date when current data was recompiled or revised.,RevisionDate
380,School District,"The name of the school district. “New York City School” includes school districts in the counties of Bronx, Kings, New York, Queens, and Richmond.",SchoolDistrict
381,School District Code,"The code by which a school district is identified, as utilized by the Department’s Office of Real Property Tax Services. Other State or local governmental agencies may utilize different school district codes.",SchoolDistrictCode
382,Basic STAR District Reimbursement,Amount (in dollars) reimbursed by New York State to the school district for the reduction in school property tax revenue due to basic STAR exemptions. (Basic STAR began in levy year 1999.) For LY16 forward: This does not include the amount of STAR advance payment personal income tax credit issued.,BasicSTARDistrictReimbursement
383,Enhanced STAR District Reimbursement,Number of residential units claiming enhanced STAR exemption. For LY16 forward: This does not include the number claiming the STAR advance payment personal income tax credit.,EnhancedSTARDistrictReimbursement
384,Total STAR District Reimbursement,Amount (in dollars) reimbursed by New York State to the school district for the reduction in school property tax revenue due to enhanced STAR exemptions. For LY16 forward: This does not include the amount of STAR advance payment personal income tax credit issued.,TotalSTARDistrictReimbursement
385,Revision Date,Total Amount (in dollars) reimbursed by New York State to the school district for the total reduction in school property tax revenue due to basic and enhanced STAR exemptions. For LY16 forward: This does not include the amount of STAR advance payment personal income tax credit issued.,RevisionDate1
386,Active Cases India,This column contains the total number of active cases in India on a particular day.,ActiveCasesIndia
387,Active Cases Change India,This column contains the change in number of active cases in India on a particular day. (Can be positive/negative depending on whether the caseload increased or decreased),ActiveCasesChangeIndia
388,Recovered India,This column contains a cumulative total of people who have recovered (tested negative) from COVID-19 infection in India.,RecoveredIndia
389,Daily Recovered India,This column contains the daily total number of people who have recovered (tested negative) from COVID-19 infection in India on a particular day.,DailyRecoveredIndia
390,Deaths India,This column contains a cumulative total of people who have died from COVID-19 infection in India.,DeathsIndia
391,Daily Deaths India,This column contains the daily total number of people who died from COVID-19 infection in India on a particular day.,DailyDeathsIndia
392,Tests Taken India,This column contains total number of COVID-19 tests taken on the previous day in India.,TestsTakenIndia
393,Total Infected India,This column contains a cumulative total of people who have been infected with the COVID-19 virus in India.,TotalInfectedIndia
394,Source URL,"This column gives the source URL from where the API collects information, i.e., https://www.mohfw.gov.in/",SourceURL
395,Last Updated,This column gives the data and time when the data was updated last.,LastUpdated
396,Misc Info,"Some misc information about the API, source, etc.",MiscInfo
397,State,This column contains names of the states of India.,State
398,Active Cases State,This column contains total number of people who are currently infected with COVID-19 on a particular day in a particular state.,ActiveCasesState
399,Active Cases Change State,This column contains the change in number of active cases in a particular state on a particular day.,ActiveCasesChangeState
400,Recovered State,This column contains a cumulative total of people who have recovered (tested negative) from COVID-19 infection in a particular state.,RecoveredState
401,Daily Recovered State,This column contains the daily total number of people who have recovered (tested negative) from COVID-19 infection in a particular state on a particular day.,DailyRecoveredState
402,Deaths State,This column contains a cumulative total of people who have died from COVID-19 infection in a particular state.,DeathsState
403,Daily Deaths State,This column contains the daily total number of people who died from COVID-19 infection in a particular state on a particular day. h. regionData.totalInfected: This column contains a cumulative total of people who have been infected with the COVID-19 virus in a particular state.,DailyDeathsState
404,Total Infected State,This column contains a cumulative total of people who have been infected with the COVID-19 virus in a particular state.,TotalInfectedState
405,Generation Date,Date and Time when data was generated (e.g. “12/19/2014 09:45:21”),GenerationDate
406,Quarter,"Date Indicating to which calendar quarter the data pertains (e.g. 9/1/2016, 1/1/2017)",Quarter
407,Indicator Set,The Indicator Set Name (i.e. Polypharmacy),IndicatorSet
408,Indicator Name,Self-descriptive name of Indicator - 'Antipsychotic polypharmacy of two or more agents [2AP]’ and 'Antipsychotic polypharmacy of three or more agents [3AP]',IndicatorName
409,Age Group,Population Age Group (i.e. 0-17 or 18+),AgeGroup1
410,Data Level,"Level of reported data (i.e. Provider, Plan, County, Region, or Statewide)",DataLevel
411,County,OMH County Name (contains the county name for count level of detail; contains ‘Region’ for regional data and ‘Statewide’ for statewide datasets),County1
412,Region,"Region Name (contains Central NY, Hudson River, Long Island, New York City, Western, and Statewide values)",Region
413,Provider,Contains the Provider name for Provider-specific data; contains ‘Region’ for regional data and ‘Statewide’ for statewide datasets),Provider
414,Eligible Population,Number of Medicaid enrollees who are currently in the given population. Please refer to the supporting document for details on any Inclusion or Exclusion criteria.,EligiblePopulation
415,Polypharmacy Count,Number of Medicaid enrollees who meet the threshold for each of the given Polypharmacy indicators. Please refer to the supporting document for details on any Inclusion or Exclusion criteria.,PolypharmacyCount
416,Polypharmacy Percent,Percentage of Medicaid enrollees meeting the threshold requirement for the given indicator divided by the Eligible Population.,PolypharmacyPercent
417,Above Statewide Avg,"For Provider-specific datasets, if the ‘% of Population’ value is greater than the Statewide percentage, then ‘Yes’ else ‘No’. N/A is used if the entry is an aggregated value or if the ELIGIBLE POPULATION value is less than 20.",AboveStatewideAvg
418,Regional Flag,Regional percentage flagged for the given indicator,RegionalFlag
419,Date,Date in a standard format,Date1
420,Open,Price at time of market opening,Open
421,High,Highest price within interval 1 Day,High
422,Low,Lowest price within interval 1 Day,Low
423,Close,Price at time of market closing,Close
424,Adj Close,Adj. Price at time of market closing,AdjClose
425,Volume,Total traded volume within interval 1 Day,Volume
426,Open 15m,Price at beginning of interval (15 Min),Open15m
427,High 15m,Highest price at beginning of interval (15 Min),High15m
428,Low 15m,Lowest price at beginning of interval (15 Min),Low15m
429,Close 15m,Price at end of interval (15 Min),Close15m
430,Volume 15m,Total traded volume at the within interval (15 Min),Volume15m
431,Vehicle Type,The type of vehicle. BOAT = Boat; SNOW = Snowmobile; TRL = Trailer; VEH = All other vehicles,VehicleType
432,VIN,The Vehicles Identification Number as assigned by the vehicle manufacturer or by NYS DMV if the original VIN was compromised.,VIN
433,Registration Class,An alpha code that is used to classify the registration. (see complete list of registration classes at the end of the data dictionary),RegistrationClass
434,Mailing City,A city name for mailing purposes; appears in the last line of an address on a mail piece.,MailingCity
435,Mailing State,"The official USPS abbreviation for the name of a mailing state, U.S. territory, Canadian Province, Commonwealth or armed forces ZIP Code designation. If APO/FPO/DPO, then the state abbreviation will be “AA,” “AE,” or “AP.”",MailingState
436,ZIP Code,"A code that identifies a specific geographic mail delivery area. ZIP Codes can represent an area within a foreign country, a state, or a single building or company that has a very high mail volume. The zip code appears in the last line of the address on a mail piece. Example: 12345",ZIPCode
437,County,The New York State county name that is the county of residence or use.,County2
438,Model Year,The manufacturer model year of vehicle.,ModelYear
439,Make,"The DMV code for the make of a vehicle that appears on the registration. The DMV make code is the first 5 letters of the vehicle’s make name. If the vehicle make is more than one word, the make code is the first 2 letters of the first two words with a slash in between. (Examples, CHEVR, HA/DA)",Make
440,Body Type,The body type of a vehicle. (see the complete list of body types at the end of the data dictionary),BodyType
441,Fuel Type,The fuel type of a vehicle.,FuelType
442,Unloaded Weight,The weight of a passenger vehicle without any load.,UnloadedWeight
443,Gross Weight,The maximum weight that a commercial vehicle is permitted to carry.,GrossWeight
444,Passenger Capacity,"The number of passengers that a for-hire vehicle can transport, excluding the driver.",PassengerCapacity
445,Registration Date,The date DMV issued the most recent registration document.,RegistrationDate
446,Expiration Date,The date when the registration expires.,ExpirationDate1
447,Vehicle Color,The color of the vehicle. This is the DMV code not the NCIC code. (see the color codes at the end of the data dictionary),VehicleColor
448,Scofflaw Stop,Indicates if a parking or red light scofflaw stop is in effect. (Y/N).,ScofflawStop
449,Suspension,Indicates if a suspension is in effect. (Y/N).,Suspension
450,Revocation,Indicates if a revocation is in effect. (Y/N).,Revocation
451,Bond Girl,"""Bond girl"" actor name (string)",BondGirl
452,Age,"""Bond girl"" actor age (int)",Age2
453,Movie,"Movie title featuring ""Bond girl"" (string)",Movie1
454,Year,"Movie year featuring ""Bond girl"" (int)",Year3
455,Bond Actor,"Actor portraying James Bond in movie featuring ""Bond girl"" (string)",BondActor
456,Bond Actor Age,"Age of actor portraying James Bond in movie featuring ""Bond girl"" (int)",BondActorAge
457,Director,"Director of movie featuring ""Bond girl"" (string)",Director2
458,Box Office,Box office earning in U.S. dollars (float),BoxOffice
459,Adjusted Box Office,2005 adjusted box office earning in U.S. dollars (float),AdjustedBoxOffice
460,Budget,Film budget in U.S. dollars (string),Budget
461,Adjusted Budget,2005 adjusted film budget in U.S. dollars (string),AdjustedBudget
462,Trip ID,a unique identifier for each trip,TripID
463,Provider Code,a code indicating the provider associated with the trip record,ProviderCode
464,Meter Engaged,date and time when the meter was engaged,MeterEngaged
465,Meter Disengaged,date and time when the meter was disengaged,MeterDisengaged
466,Passengers,the number of passengers in the vehicle (driver entered value),Passengers
467,Engage Lon,the longitude where the meter was engaged,EngageLon
468,Engage Lat,the latitude where the meter was engaged,EngageLat
469,Disengage Lon,the longitude where the meter was disengaged,DisengageLon
470,Disengage Lat,the latitude where the meter was disengaged,DisengageLat
471,Store & Forward,This flag indicates whether the trip record was held in the vehicle memory before sending to the vendor because the vehicle did not have a connection to the server - Y=store and forward; N=not a store and forward trip,Store&Forward
472,Trip Duration,duration of the trip in seconds,TripDuration
473,pH,pH of water,pH
474,Soap Precipitation,Capacity of water to precipitate soap in mg/L,SoapPrecipitation
475,TDS,Total dissolved solids in ppm,TDS
476,Chloramines,Amount of Chloramines in ppm,Chloramines
477,Sulfates,Amount of Sulfates dissolved in mg/L,Sulfates
478,Conductivity,Electrical conductivity of water in μS/cm,Conductivity
479,Organic Carbon,Amount of organic carbon in ppm,OrganicCarbon
480,THMs,Amount of Trihalomethanes in μg/L,THMs
481,Turbidity,Measure of light emiting property of water in NTU (Nephelometric Turbidity Units),Turbidity
482,Safe for Consumption,Indicates if water is safe for human consumption,SafeforConsumption
483,Danceability,"Danceability describes how suitable a track is for dancing based on a combination of musical elements including tempo, rhythm stability, beat strength, and overall regularity. A value of 0.0 is least danceable and 1.0 is most danceable.",Danceability
484,Energy,"Energy is a measure from 0.0 to 1.0 and represents a perceptual measure of intensity and activity. Typically, energetic tracks feel fast, loud, and noisy. For example, death metal has high energy, while a Bach prelude scores low on the scale. Perceptual features contributing to this attribute include dynamic range, perceived loudness, timbre, onset rate, and general entropy.",Energy
485,Key,"The key the track is in. Integers map to pitches using standard Pitch Class notation . E.g. 0 = C, 1 = C♯/D♭, 2 = D, and so on.",Key
486,Loudness,The overall loudness of a track in decibels (dB). Loudness values are averaged across the entire track and are useful for comparing relative loudness of tracks. Loudness is the quality of a sound that is the primary psychological correlate of physical strength (amplitude). Values typical range between -60 and 0 db.,Loudness
487,Mode,"Mode indicates the modality (major or minor) of a track, the type of scale from which its melodic content is derived. Major is represented by 1 and minor is 0.",Mode
488,Speechiness,Speechiness detects the presence of spoken words in a track.,Speechiness
489,Acousticness,A confidence measure from 0.0 to 1.0 of whether the track is acoustic. 1.0 represents high confidence the track is acoustic.,Acousticness
490,Instrumentalness,Predicts whether a track contains no vocals. “Ooh” and “aah” sounds are treated as instrumental in this context.,Instrumentalness
491,Liveness,Detects the presence of an audience in the recording.,Liveness
492,Valence,A measure from 0.0 to 1.0 describing the musical positiveness conveyed by a track.,Valence
493,Tempo,The overall estimated tempo of a track in beats per minute (BPM),Tempo
494,Duration,The duration of the track in milliseconds.,Duration2
495,Time Signature,An estimated overall time signature of a track.,TimeSignature
496,Liked,"1 for liked songs , 0 for disliked songs",Liked
497,Serial No,Serial Number,SerialNo
498,Gender,"Gender- Male='M',Female='F'",Gender3
499,10th %,Secondary Education percentage- 10th Grade,10th%
500,Board,Board of Education- Central/ Others,Board
501,12th %,Higher Secondary Education percentage- 12th Grade,12th%
502,HSE Spec,Specialization in Higher Secondary Education,HSESpec
503,Degree %,Degree Percentage,Degree%
504,Degree Type,Under Graduation(Degree type)- Field of degree education,DegreeType
505,Work Exp,Work Experience,WorkExp
506,Employability %,Employability test percentage ( conducted by college),Employability%
507,MBA Spec,Post Graduation(MBA)- Specialization,MBASpec
508,MBA %,MBA percentage,MBA%
509,Placement,Status of placement- Placed/Not placed,Placement
510,Salary Offered,Salary offered by corporate to candidates,SalaryOffered
511,Country Code,ISO 3166 county code (alpha 2),CountryCode1
512,State Code,ISO 3166 state code (alpha 2),StateCode
513,Region,County/Region name,Region1
514,Bed Type,"Type of beds: [TOTAL, ICU, ACUTE, PSYCHIATRIC, OTHER]",BedType
515,Measure Type,Type of measure: 1000HAB - per 1000 inhabitants,MeasureType
516,Beds per 1000,Number of beds per 1000 inhabitants,Bedsper1000
517,Population,Population of location,Population
518,Source Year,source year for beds and population,SourceYear
519,Data Source,source of data,DataSource
520,Source URL,URL of the original source,SourceURL1
521,Season,Football season year,Season
522,Position,Final position of the team for that season,Position
523,Team,Name of the team,Team1
524,Games,Number of games played,Games
525,Wins,Number of wins,Wins
526,Draws,Number of draws,Draws
527,Losses,Number of losses,Losses
528,Goals Scored,Number of goals scored,GoalsScored
529,Goals Conceded,Number of goals conceded,GoalsConceded
530,GD,Goal Difference,GD
531,Points,Number of points in that season,Points
532,Qualification,Qualified for European cup or relegated to a lower tier league,Qualification
533,Facility,The name of the local correctional facility where the inmate is housed.,Facility
534,Report Year,Year that the average daily jail census was reported.,ReportYear
535,Total Inmates,The total number of inmates for which the county is responsible. These inmates included: Boarded Out and In House.,TotalInmates
536,Boarded Out,The average daily census of inmates under a facility’s jurisdiction that are boarded out to another county's correctional facility. These inmates are not reflected in the In-House Census.,BoardedOut
537,Boarded In,"The average daily census of inmates from other jurisdictions housed in a county jail who are boarded in from another county facility or other authorities. Federal prisoners are not included in this count. Boarded In inmates also are included in one of the other inmate types (e.g., Sentenced, Civil, Technical Parole Violators, etc.).",BoardedIn
538,In-House Census,"Housed at County Facility. The average daily census that the county is responsible for housing. These inmates include: Sentenced, Civil, Federal, Technical Parole Violators, State-Readies, and Other Unsentenced.",In-HouseCensus
539,Sentenced,Housed at County Facility. The average daily census of inmates that have been convicted and sentenced to a county jail term and are physically located in the facility at the time of the count.,Sentenced
540,Civil,"Housed at County Facility. The average daily census of inmates in the county jail as the result of a Civil Process, Family Court, Contempt or Material Witness status who are physically located in the facility at the time of the count.",Civil
541,Federal,Housed at County Facility. The average daily census of inmates that are physically located in the facility and are being held under an agreement with a U.S. Government Agency.,Federal
542,Parole Violators,Housed at County Facility. The average daily census of inmates held in a local jail as a result of a violation of a condition of Parole. Inmates in this category are being held for no reason other than the Parole Warrant.,ParoleViolators
543,State-Readies,"Housed at County Facility. The average daily census of inmates sentenced by the court to a state prison term, but have not been transported to the NYS Department of Corrections and Community Supervision (DOCCS). All paperwork for inmates in this category has been completed and they are ready for transport to DOCCS.",State-Readies
544,Unsentenced,"Housed at County Facility. The average daily census of inmates awaiting either arraignment, trial, awaiting sentencing by the court, or are Parole Violators with New Arrests.",Unsentenced
545,County,"Name of New York State County. In addition to New York’s 62 Counties, the dataset also includes separate entries for offshore open waters that are part of New York State but that are not within the jurisdiction of any county: Lake Ontario, Lake Erie, and Atlantic Ocean/Long Island Sound.",County3
546,Category,"Category of the species or community: Animal, Plant, or Natural Community.",Category
547,Taxonomic Group,"For animals and plants, the taxonomic phylum, class, or order to which the species belongs. Groups are not always equivalent to a single taxonomic group, and they are given English names. For natural communities, group is the system to which the natural community belongs. Natural communities are grouped into seven systems: marine, tidal wetlands (estuarine), rivers and streams (riverine), lakes and ponds (lacustrine), freshwater nontidal wetlands (palustrine), uplands (terrestrial), and subterranean (caves).",TaxonomicGroup
548,Subgroup,"For animals and plants, a lower level of taxonomic group than the Taxonomic Group (above). The subgroup is the taxonomic phylum, class, order, or family to which the species belong. Subgroups are not always equivalent to a single taxonomic group, and they are given English names. For natural communities, subgroup is the subsystem to which the natural community belongs. Marine and tidal wetland systems are divided into subtidal and intertidal subsystems. The freshwater nontidal wetlands system is divided into open mineral soil wetlands, forested mineral soil wetlands, open peatlands, and forested peatlands. The uplands system is divided into open uplands, barrens and woodlands, and forested uplands. The rivers and streams, lakes and ponds, and subterranean systems each have one subsystem.",Subgroup
549,Scientific Name,"For plants and animals, the scientific name used in the database of the New York Natural Heritage Program. Names are based on generally accepted references, augmented by recent scientific literature and expert opinion. For natural communities, the names of community types are documented in New York Natural Heritage’s “Ecological Communities of New York State, Second Edition” (draft).",ScientificName
550,Common Name,"For plants and animals, the common name is its “plain English” name, as used in the database of the New York Natural Heritage Program. Names are based on generally accepted references, augmented by recent scientific literature and expert opinion. For natural communities, the names of community types are documented in New York Natural Heritage’s “Ecological Communities of New York State, Second Edition” (draft).",CommonName
551,Last Observed,"The most recent year the species or community type was observed in the given county, as documented in the dataset’s source databases. A value of “2000 – 2005” indicates that the species was most recently documented during the second NYS Breeding Bird Atlas Project, conducted from 2000 to 2005. A value of “1990-1999” indicates that the species was most recently documented during the NY Amphibian and Reptile Atlas Project, conducted from 1990 to 1999. A value of “not available” indicates that the species or community type has been recorded in the given county, but no date is available.",LastObserved
552,State Protection Status,"For animals and plants, the legal protected status under New York State Environmental Conservation Law (ECL) and under New York State regulations. The highest level of protection is given to species listed by New York State as Endangered or Threatened. Regulations regarding animals are administered by NYS DEC’s Division of Fish, Wildlife, and Marine Resources. Regulations regarding plants are administered by NYS DEC’s Division of Lands and Forests. For Animals, categories of Endangered, Threatened, and Special Concern species are defined in New York State ECL §11-0535. Endangered, Threatened, and Special Concern species are listed in regulation 6NYCRR 182.5, and at http://www.dec.ny.gov/animals/7494.html. For Plants, categories of Endangered, Threatened, Rare, and Exploitably Vulnerable are defined in ECL §9-1503. Plants in these categories are protected against picking, removal, or damaging with herbicides without the consent of the landowner. Endangered, Threatened, Rare, and Exploitably Vulnerable species are listed in regulation 6NYCRR 193.3, and at http://www.dec.ny.gov/regs/15522.html.",StateProtectionStatus
553,Federal Protection Status,"For animals and plants, the listing status under the U.S. Endangered Species Act, as it applies to populations of the species in New York State. Listing provides legal protection for this species at the federal level. Listing categories are Endangered, Threatened, or Candidate. As defined by the Act, endangered refers to species that are ""in danger of extinction within the foreseeable future throughout all or a significant portion of its range,"" while threatened refers to “those animals and plants likely to become endangered within the foreseeable future throughout all or a significant portion of their ranges.”",FederalProtectionStatus
554,State Conservation Rank,"A rank assigned by New York Natural Heritage to each species and community type indicating how imperiled it is in New York State. The state conservation rank is based on how rare or abundant the species or community type is in New York, its distribution, and on population trends and threats. As new information becomes available, ranks may be revised. The ranks are based on a one to five scale, ranging from S1 = critically imperiled to S5 = demonstrably secure (common and widespread). Natural Heritage conservation status ranks carry no legal or regulatory weight. Basic state conservation ranks are: S1 – Critically Imperiled in New York State S2 – Imperiled in New York State S3 – Vulnerable in New York State S4 – Apparently Secure in New York State S5 – Definitely Secure in New York State (common and widespread) SH – Historical in New York: not seen since before 1980, but could still be present SX—Extirpated: no longer present in New York SU – Unrankable: Currently unrankable due to lack of information or due to substantially conflicting information about status or trends. SNR – Not Ranked: state conservation status not yet assessed. SNA – Not Applicable, because the species is not a suitable target for conservation activities (e.g., species is a hybrid, a domesticated species, not native to New York, an accidental or infrequent visitor outside of its normal range, a transient migrant just passing through the state, or a species with only unconfirmed or doubtful reports). Variations of these ranks include: • Range ranks, such as S1S2, indicate not enough information is available to distinguish between two single ranks. • ? after a rank, such as S2?, indicates some uncertainty about the true rank, but is most likely the assigned rank. • B after a rank, such as S2B, indicates the rank applies to the breeding populations in New York of a migratory animal. • N after a rank, such as S3N, indicates the rank applies to the non-breeding populations in New York of a migratory animal.",StateConservationRank
555,Global Conservation Rank,"A rank assigned by New York Natural Heritage to each species and community type indicating how imperiled the species or community type is throughout the world. The global conservation rank is based on how rare the species or community type is across its global range, and on population trends and threats. For species, these ranks provide an estimate of extinction risk; while for natural communities, they provide an estimate of the risk of elimination. As new information becomes available, ranks may be revised. The ranks are based on a one to five scale, ranging from G1 = critically imperiled to G5 = demonstrably secure (common and widespread). Natural Heritage conservation status ranks carry no legal or regulatory weight. Basic global conservation ranks are: G1 – Critically Imperiled (very high risk of extinction) G2 – Imperiled (high risk of extinction) G3 – Vulnerable (moderate risk of extinction) G4 – Apparently Secure (uncommon but not rare) G5 – Definitely Secure (common and widespread) GH – Possibly Extinct: not seen anywhere in last 30, but could still exist GX – Extinct: no longer present anywhere in the world GU – Unrankable: Currently unrankable due to lack of information or due to substantially conflicting information about status or trends. GNR – Not Ranked: global conservation status not yet assessed. GNA – Not Applicable, because the species is not a suitable target for conservation activities (e.g., species is a hybrid, or a domesticated species). Variations of these ranks include: • Range ranks, such as G1G2, indicate not enough information is available to distinguish between two single ranks. • ? after a rank, such as G2?, indicates some uncertainty about the true rank, but is most likely the assigned rank. • T ranks, such as T3, indicate the rank applies to a subspecies or variety, but not to the species as a whole.",GlobalConservationRank
556,County Presence Status,"Status of the presence of the species or natural community type in the given county, as recorded in the dataset’s source databases. Values are: Recently confirmed = Documented, with confirmed identification, since 1980. Historically confirmed = Last documented, with confirmed identification, before 1980; current presence is unknown, but could still be present. Possible, but not confirmed = Has not been documented but has been confirmed nearby, or has been reported but identification has not been confirmed. Extirpated = Has been documented in the past, but is now believed to no longer occur in the given county.",CountyPresenceStatus
557,Name,billionaires name,Name
558,Net Worth,billionaires net worth,NetWorth
559,Country,billionaires country,Country2
560,Source,billionaires source of wealth,Source1
561,Forbes Rank,billionaires rank in forbes list,ForbesRank
562,Age,billionaires age in 2021,Age3
563,Residency,billionaires residency,Residency
564,Citizenship,billionaires citizenship,Citizenship
565,Marital Status,billionaires marital status,MaritalStatus
566,Children,no. of billionaires childeren,Children
567,Education,billionaires educated at,Education
568,Self Made,is billionaire self made ?,SelfMade
569,Residency Point,point of billionaires residency,ResidencyPoint
570,Date,Date of the Superbowl Final,Date2
571,Title,Superbowl Title,Title1
572,Winning Team,Name of the winning team,WinningTeam
573,Winning Points,Points of the winning team,WinningPoints
574,Losing Team,Name of the losing team,LosingTeam
575,Losing Points,Points of the losing team,LosingPoints
576,MVP,Most Valuable Player,MVP
577,Stadium,Location - Stadium,Stadium
578,City,Location - City,City
579,State,Location - State,State1
580,School,student's school (binary: 'GP' - Gabriel Pereira or 'MS' - Mousinho da Silveira),School
581,Sex,student's sex (binary: 'F' - female or 'M' - male),Sex
582,Age,student's age (numeric: from 15 to 22),Age4
583,Address Type,student's home address type (binary: 'U' - urban or 'R' - rural),AddressType
584,Family Size,family size (binary: 'LE3' - less or equal to 3 or 'GT3' - greater than 3),FamilySize
585,Parents Cohabitation,parent's cohabitation status (binary: 'T' - living together or 'A' - apart),ParentsCohabitation
586,Mother's Education,"mother's education (numeric: 0 - none, 1 - primary education (4th grade), 2 â€“ 5th to 9th grade, 3 â€“ secondary education or 4 â€“ higher education)",MothersEducation
587,Father's Education,"father's education (numeric: 0 - none, 1 - primary education (4th grade), 2 â€“ 5th to 9th grade, 3 â€“ secondary education or 4 â€“ higher education)",FathersEducation
588,Mother's Job,"mother's job (nominal: 'teacher', 'health' care related, civil 'services' (e.g. administrative or police), 'at_home' or 'other')",MothersJob
589,Father's Job,"father's job (nominal: 'teacher', 'health' care related, civil 'services' (e.g. administrative or police), 'at_home' or 'other')",FathersJob
590,Reason to Choose School,"reason to choose this school (nominal: close to 'home', school 'reputation', 'course' preference or 'other')",ReasontoChooseSchool
591,Guardian,"student's guardian (nominal: 'mother', 'father' or 'other')",Guardian
592,Travel Time,"home to school travel time (numeric: 1 - <15 min., 2 - 15 to 30 min., 3 - 30 min. to 1 hour, or 4 - >1 hour)",TravelTime
593,Study Time,"weekly study time (numeric: 1 - <2 hours, 2 - 2 to 5 hours, 3 - 5 to 10 hours, or 4 - >10 hours)",StudyTime
594,Past Class Failures,"number of past class failures (numeric: n if 1<=n<3, else 4)",PastClassFailures
595,Extra Educational Support,extra educational support (binary: yes or no),ExtraEducationalSupport
596,Family Educational Support,family educational support (binary: yes or no),FamilyEducationalSupport
597,Extra Paid Classes,extra paid classes within the course subject (Math or Portuguese) (binary: yes or no),ExtraPaidClasses
598,Extra-Curricular Activities,extra-curricular activities (binary: yes or no),Extra-CurricularActivities
599,Attended Nursery,attended nursery school (binary: yes or no),AttendedNursery
600,Wants Higher Education,wants to take higher education (binary: yes or no),WantsHigherEducation
601,Internet Access,Internet access at home (binary: yes or no),InternetAccess
602,Romantic Relationship,with a romantic relationship (binary: yes or no),RomanticRelationship
603,Family Relationships,quality of family relationships (numeric: from 1 - very bad to 5 - excellent),FamilyRelationships
604,Free Time,free time after school (numeric: from 1 - very low to 5 - very high),FreeTime
605,Going Out with Friends,going out with friends (numeric: from 1 - very low to 5 - very high),GoingOutwithFriends
606,Workday Alcohol Consumption,workday alcohol consumption (numeric: from 1 - very low to 5 - very high),WorkdayAlcoholConsumption
607,Weekend Alcohol Consumption,weekend alcohol consumption (numeric: from 1 - very low to 5 - very high),WeekendAlcoholConsumption
608,Current Health Status,current health status (numeric: from 1 - very bad to 5 - very good),CurrentHealthStatus
609,School Absences,number of school absences (numeric: from 0 to 93),SchoolAbsences
610,First Period Grade,first period grade (numeric: from 0 to 20),FirstPeriodGrade
611,Second Period Grade,second period grade (numeric: from 0 to 20),SecondPeriodGrade
612,Final Grade,"final grade (numeric: from 0 to 20, output target)",FinalGrade
613,Player,Player name,Player1
614,GP,Games played,GP
615,MPG,Mean number of minutes played,MPG
616,PTS,Mean number of points scored,PTS
617,FGM,Mean number of field goals scored,FGM
618,FGA,Mean number of field goals attempted,FGA
619,3PM,Mean number of 3-point shots made,3PM
620,3PA,Mean number of 3-point shots attempted,3PA
621,FTM,Mean number of free throws made,FTM
622,FTA,Mean number of free throws attempted,FTA
623,OREB,Mean number of offensive rebounds,OREB
624,DREB,Mean number of defensive rebounds,DREB
625,AST,Mean number of assists,AST
626,STL,Mean number of steals,STL
627,BLK,Mean number of blocks,BLK
628,TOV,Mean number of turnovers,TOV
629,Active,"0: not playing after 5 years, 1: playing after 5 years",Active
630,Law Code,Law code of the violation for which the ticket was issued.,LawCode
631,Violation Description,Description of the violation for which the ticket was issued.,ViolationDescription
632,Year Issued,Calendar year in which the ticket was issued.,YearIssued
633,Month Issued,Month in which the ticket was issued. 1=January; 12=December.,MonthIssued
634,Day of Week,Day of the week on which the ticket was issued.,DayofWeek
635,Age,"Age, in years, of the person to whom the ticket was issued on the date of ticket issuance.",Age5
636,Gender,Gender of person to whom ticket was issued. M = Male ; F = Female; C = Organization; U = Unknown,Gender4
637,License State,"Name of the state, district, territory, province or country that issued the driver license presented by the motorist at the time of ticket issuance.",LicenseState
638,Agency,The name of the law enforcement agency that issued the ticket.,Agency
